,p0_growth,log_inc_t_1,gini_t_1,life_exp,pop_growth_pwt,priv_credit,inflation,budget,trade_openness,fin_openness,homic,conflict,civ_lib,agriculture,prim_school,sec_school,infrastructure
494,0.01345,3.7890300000000003,0.42887200000000003,60.1929,0.031637,0.090254,0.117834,-0.02,-0.18929300000000002,0.41280500000000003,0.0125,0.0,6.4,0.00352612,1.18519,0.18843800000000002,-1.6486299999999998
495,0.0154,3.72296,0.41890299999999997,62.2712,0.030498,0.107499,0.090383,-0.02,0.021419999999999998,0.38533667,0.023,0.0,8.5,-0.00164342,1.42096,0.268885,-1.01039
496,-0.0196,3.72021,0.417592,63.8053,0.028801,0.112409,0.066268,-0.02,-0.062442,0.247995,0.006,0.0,9.66667,0.00250464,1.44747,0.350026,-0.676415
497,0.01666667,3.66505,0.48224399999999995,44.8601,0.029094,0.06525399999999999,0.303399,-0.02,-0.372771,0.16480899999999998,0.0494,0.0,7.142860000000001,0.01389617,1.34626,0.30903200000000003,-1.26629
498,-0.00453333,3.61573,0.4409,51.6812,0.03173,0.08530399999999999,0.104627,-0.02,-0.429579,0.04708829,0.039429,0.0,7.42857,-0.0319807,1.29321,0.298375,-0.704816
499,-0.00273333,5.96835,0.459236,69.6302,0.029785000000000002,0.885268,-0.011182,-0.07,0.407503,1.0,0.019111000000000003,0.0,8.25,-0.00637142,0.947785,0.555134,0.012865999999999999
500,-0.00215,5.93685,0.44846,70.2737,0.030042000000000003,0.90564,0.03961,-0.05,0.5466880000000001,1.0,0.019111000000000003,0.0,9.0,-0.04942471,0.931743,0.57494,0.14106300000000002
501,-0.00123333,6.05895,0.443808,70.8702,0.028192000000000002,0.868392,0.032144,-0.016135,0.728689,1.0,0.019111000000000003,0.0,9.0,-0.07192324,0.9351950000000001,0.556628,0.30647800000000003
502,0.00163333,6.24064,0.44000900000000004,71.5408,0.026395,1.1215600000000001,0.037801999999999995,0.0158325,0.8665290000000001,0.78686125,0.019111000000000003,0.0,9.0,-0.03934937,0.958751,0.5539270000000001,0.56875
503,-0.00675,6.44177,0.440659,72.0716,0.026119999999999997,1.41478,0.035186,0.02328333,0.9588760000000001,0.655213,0.021647,0.0,9.33333,-0.07699491,0.969248,0.562592,0.811045
